epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,730.583,1.14555,3.72935,1.16322,0.70811,0.71533,0.61896,0.46595,1.26084,5.08403,1.32838,0.000398525,0.000398525,0.000398525
43,747.675,1.1633,3.76044,1.18591,0.696,0.71246,0.6158,0.46683,1.25524,5.06579,1.2906,0.00039605,0.00039605,0.00039605
44,764.833,1.14278,3.76211,1.17544,0.68624,0.68686,0.59528,0.45675,1.24052,5.37097,1.27001,0.000393575,0.000393575,0.000393575
45,781.54,1.14627,3.77325,1.17283,0.72081,0.67946,0.60243,0.45843,1.25024,5.86319,1.27237,0.0003911,0.0003911,0.0003911
46,798.529,1.13327,3.87174,1.17854,0.73681,0.68963,0.61784,0.48335,1.24606,5.72367,1.3214,0.000388625,0.000388625,0.000388625
47,815.436,1.11449,3.57302,1.14215,0.74992,0.68215,0.60232,0.43712,1.34497,5.61821,1.38174,0.00038615,0.00038615,0.00038615
48,833.112,1.11147,3.73811,1.16489,0.66713,0.66408,0.59166,0.45412,1.21576,5.64403,1.30081,0.000383675,0.000383675,0.000383675
49,850.74,1.14163,3.79154,1.18032,0.66469,0.67274,0.58841,0.44994,1.29126,6.04464,1.29312,0.0003812,0.0003812,0.0003812
50,867.726,1.11653,3.54102,1.15823,0.69892,0.69414,0.61552,0.47779,1.21706,5.93203,1.26237,0.000378725,0.000378725,0.000378725
51,884.327,1.144,3.58454,1.15617,0.68483,0.65084,0.64484,0.46533,1.31333,5.51918,1.28548,0.00037625,0.00037625,0.00037625
52,901.191,1.05676,3.35169,1.12831,0.75143,0.6825,0.65482,0.50157,1.24025,5.15941,1.31073,0.000373775,0.000373775,0.000373775
53,917.811,1.07293,3.36022,1.11034,0.65654,0.7468,0.66094,0.49536,1.31263,5.27917,1.30944,0.0003713,0.0003713,0.0003713
54,934.19,1.02166,3.22749,1.10628,0.70385,0.69459,0.64315,0.49069,1.19015,5.46201,1.28911,0.000368825,0.000368825,0.000368825
55,950.848,1.07164,3.41297,1.13823,0.67188,0.63401,0.52493,0.37719,1.33694,5.71277,1.36041,0.00036635,0.00036635,0.00036635
56,968.273,1.04836,3.31176,1.11452,0.68207,0.69394,0.58742,0.45147,1.29837,5.63063,1.3401,0.000363875,0.000363875,0.000363875
57,985.132,1.0663,3.44358,1.1268,0.67406,0.67561,0.6016,0.46548,1.33235,6.02223,1.32223,0.0003614,0.0003614,0.0003614
58,1002.02,1.02911,3.28042,1.10982,0.69229,0.72955,0.65036,0.49656,1.22377,5.57875,1.24752,0.000358925,0.000358925,0.000358925
59,1018.78,1.05677,3.42826,1.11548,0.66176,0.72454,0.61552,0.44623,1.22507,5.2316,1.27177,0.00035645,0.00035645,0.00035645
60,1035.79,1.00817,3.13091,1.09301,0.71434,0.71033,0.64461,0.4796,1.28852,5.19456,1.29694,0.000353975,0.000353975,0.000353975
61,1052.73,1.03891,3.22172,1.11375,0.70271,0.71448,0.6322,0.47693,1.23919,5.38351,1.2774,0.0003515,0.0003515,0.0003515
62,1069.59,1.0012,3.0588,1.08855,0.616,0.77508,0.61111,0.45938,1.28841,5.59589,1.29421,0.000349025,0.000349025,0.000349025
63,1086.55,1.04638,3.23903,1.10858,0.72679,0.74209,0.65385,0.47891,1.20319,5.05311,1.24557,0.00034655,0.00034655,0.00034655
64,1103.43,0.99689,3.0946,1.07471,0.72634,0.7261,0.64676,0.47524,1.26964,5.18006,1.27175,0.000344075,0.000344075,0.000344075
65,1120.26,1.04188,3.24713,1.09987,0.79037,0.7142,0.66024,0.47571,1.26859,5.39137,1.28326,0.0003416,0.0003416,0.0003416
66,1136.98,0.98132,3.0486,1.06697,0.74439,0.70471,0.64662,0.47098,1.25283,5.41582,1.30798,0.000339125,0.000339125,0.000339125
67,1153.91,1.00222,3.03978,1.09967,0.70968,0.68047,0.62859,0.48298,1.23201,5.21254,1.26283,0.00033665,0.00033665,0.00033665
68,1170.87,1.02837,3.15606,1.10527,0.69766,0.733,0.65842,0.5031,1.23015,5.18898,1.24451,0.000334175,0.000334175,0.000334175
69,1187.68,1.00554,3.0796,1.09258,0.74727,0.70774,0.6712,0.49615,1.25237,5.3921,1.25374,0.0003317,0.0003317,0.0003317
70,1204.6,0.99726,3.02826,1.07676,0.69909,0.67497,0.65341,0.49759,1.26728,5.46666,1.25727,0.000329225,0.000329225,0.000329225
71,1221.49,0.98391,3.00223,1.07658,0.75349,0.70877,0.64339,0.49053,1.25757,5.24096,1.24588,0.00032675,0.00032675,0.00032675
72,1238.1,1.01322,3.08835,1.08736,0.73115,0.76281,0.6545,0.50221,1.21216,4.98069,1.23417,0.000324275,0.000324275,0.000324275
73,1254.8,1.0256,3.16882,1.12061,0.74935,0.71388,0.66334,0.52656,1.2174,4.92704,1.21824,0.0003218,0.0003218,0.0003218
74,1271.92,0.98358,2.99095,1.06802,0.76067,0.74031,0.65861,0.49042,1.27273,5.25784,1.24842,0.000319325,0.000319325,0.000319325
75,1288.41,0.97509,2.99976,1.06409,0.74051,0.71684,0.64022,0.49648,1.2124,5.42018,1.24598,0.00031685,0.00031685,0.00031685
76,1304.95,0.94567,2.95315,1.06035,0.7084,0.75286,0.65712,0.49827,1.23552,5.23582,1.26381,0.000314375,0.000314375,0.000314375
77,1321.49,0.95194,2.94813,1.05246,0.6179,0.76498,0.65909,0.48621,1.2422,5.50307,1.25849,0.0003119,0.0003119,0.0003119
78,1337.81,0.95751,2.95861,1.0609,0.7421,0.68519,0.63492,0.46314,1.23844,4.92937,1.24052,0.000309425,0.000309425,0.000309425
79,1354.51,0.94721,2.88754,1.0532,0.74167,0.7129,0.66293,0.50414,1.18866,5.08126,1.21513,0.00030695,0.00030695,0.00030695
80,1371.72,0.9771,3.00108,1.08636,0.75632,0.70443,0.64025,0.48651,1.25374,5.51788,1.24956,0.000304475,0.000304475,0.000304475
81,1388.86,0.9542,2.88905,1.0521,0.79078,0.70213,0.67639,0.50475,1.24265,5.20612,1.23785,0.000302,0.000302,0.000302
82,1405.5,0.92235,2.79675,1.03937,0.68304,0.78283,0.66168,0.50367,1.25867,4.93679,1.25699,0.000299525,0.000299525,0.000299525
83,1422.36,0.95225,2.89283,1.05191,0.73591,0.76498,0.68921,0.51261,1.21164,4.63182,1.22974,0.00029705,0.00029705,0.00029705
84,1439.05,0.94413,2.856,1.05803,0.79359,0.74579,0.66611,0.49248,1.22042,4.76195,1.23235,0.000294575,0.000294575,0.000294575
85,1455.5,0.9256,2.78302,1.03708,0.73485,0.73495,0.67563,0.51018,1.19826,4.81394,1.20914,0.0002921,0.0002921,0.0002921
86,1472.26,0.91802,2.79573,1.04869,0.65996,0.78062,0.67063,0.50241,1.25395,5.46132,1.2305,0.000289625,0.000289625,0.000289625
87,1488.81,0.91992,2.80109,1.04234,0.6973,0.74684,0.65792,0.49262,1.19177,5.11599,1.19889,0.00028715,0.00028715,0.00028715
88,1505.4,0.90517,2.7026,1.04159,0.73905,0.69141,0.64131,0.47345,1.17991,5.07698,1.22301,0.000284675,0.000284675,0.000284675
89,1522.04,0.91427,2.7081,1.04439,0.75374,0.74966,0.68193,0.50302,1.21716,5.23645,1.26575,0.0002822,0.0002822,0.0002822
90,1538.91,0.92824,2.7474,1.04636,0.74205,0.73933,0.6607,0.50011,1.24346,5.03425,1.26746,0.000279725,0.000279725,0.000279725
91,1555.8,0.89638,2.62311,1.02255,0.74938,0.7306,0.63129,0.51409,1.12216,4.76863,1.20728,0.00027725,0.00027725,0.00027725
92,1572.56,0.89201,2.68195,1.03725,0.76299,0.72477,0.64697,0.48709,1.25631,5.03081,1.27827,0.000274775,0.000274775,0.000274775
93,1589.45,0.90136,2.6205,1.0261,0.71902,0.78586,0.65493,0.49978,1.18956,5.19163,1.26529,0.0002723,0.0002723,0.0002723
94,1606.07,0.8838,2.58485,1.03728,0.71106,0.77262,0.65163,0.50759,1.17522,5.15895,1.28983,0.000269825,0.000269825,0.000269825
95,1622.94,0.87355,2.6431,1.02011,0.69947,0.75869,0.66475,0.50011,1.19132,4.83614,1.27915,0.00026735,0.00026735,0.00026735
96,1640.61,0.90693,2.7496,1.0264,0.71381,0.7642,0.67081,0.50313,1.23109,4.93039,1.27921,0.000264875,0.000264875,0.000264875
97,1657.48,0.87229,2.59348,1.02198,0.71652,0.78451,0.68582,0.51132,1.22318,5.06514,1.23018,0.0002624,0.0002624,0.0002624
98,1674.42,0.89719,2.70306,1.02563,0.75943,0.74108,0.657,0.50583,1.21785,5.19461,1.23422,0.000259925,0.000259925,0.000259925
99,1691.32,0.897,2.72438,1.0308,0.77676,0.7271,0.66387,0.50185,1.30971,5.36441,1.30875,0.00025745,0.00025745,0.00025745
100,1708.15,0.87615,2.59143,1.01379,0.7677,0.73468,0.65539,0.50988,1.23621,4.97071,1.27445,0.000254975,0.000254975,0.000254975
101,1725.16,0.85687,2.57502,1.01438,0.79254,0.69454,0.66054,0.51358,1.21144,4.86126,1.25486,0.0002525,0.0002525,0.0002525
102,1742.36,0.86708,2.58623,1.0256,0.75961,0.76296,0.67838,0.5127,1.22402,4.76496,1.29946,0.000250025,0.000250025,0.000250025
103,1759.34,0.85237,2.50112,1.01284,0.75155,0.73205,0.68607,0.51447,1.19511,4.58384,1.28797,0.00024755,0.00024755,0.00024755
104,1776.39,0.85708,2.57291,0.99341,0.72974,0.72121,0.63281,0.48167,1.20077,4.87901,1.31499,0.000245075,0.000245075,0.000245075
105,1793.11,0.85978,2.479,1.00063,0.71128,0.73705,0.62939,0.47257,1.19029,4.82804,1.29651,0.0002426,0.0002426,0.0002426
106,1810.12,0.89221,2.6542,1.01965,0.6477,0.77948,0.66138,0.50105,1.16343,4.90938,1.2484,0.000240125,0.000240125,0.000240125
107,1827.01,0.87016,2.55756,1.01737,0.76303,0.70511,0.6469,0.4987,1.16524,5.25596,1.24276,0.00023765,0.00023765,0.00023765
108,1844.04,0.87437,2.59005,1.01873,0.76442,0.70541,0.64079,0.49799,1.12926,5.23005,1.24937,0.000235175,0.000235175,0.000235175
109,1860.99,0.8228,2.49564,0.99143,0.69036,0.76076,0.66168,0.50242,1.15171,5.09885,1.25619,0.0002327,0.0002327,0.0002327
110,1878.09,0.86182,2.56821,1.00928,0.70739,0.75421,0.66646,0.50097,1.213,5.10166,1.32106,0.000230225,0.000230225,0.000230225
111,1895.08,0.83213,2.52347,1.0017,0.75474,0.73454,0.66503,0.51048,1.14573,4.57395,1.2645,0.00022775,0.00022775,0.00022775
112,1911.99,0.82981,2.56221,1.00803,0.74865,0.73706,0.66472,0.50751,1.09766,4.53847,1.20781,0.000225275,0.000225275,0.000225275
113,1929.33,0.81815,2.46863,0.99396,0.75149,0.73071,0.62959,0.47464,1.11625,4.90415,1.21786,0.0002228,0.0002228,0.0002228
114,1945.98,0.80037,2.40784,0.98742,0.69492,0.74849,0.66531,0.50736,1.17575,5.01336,1.26773,0.000220325,0.000220325,0.000220325
115,1963.34,0.81394,2.42637,0.98501,0.66191,0.77946,0.67412,0.50446,1.18025,5.10094,1.31562,0.00021785,0.00021785,0.00021785
